p01,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64
03_Neutral,3,2,3,2,3,2,3,2,3,derivadas,creo que falta un poco de sincronico o realizar un poco de reforzamiento presencial,2,3,2,3,2,3,3,4,la verdad este ramo ya lo habia cursado entiendo por que lo quieren hacer repetir,3,2,3,4,3,bueno,2,3,4,3,4,3,3,soporte ninguno,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Apropiada,Similar,Apropiado,Similar,0,1,0,0,deberian realizar un taller presencial
05_Excelente,5,5,5,5,5,5,5,5,5,encuentro los siguientes aspectos como lo mejor del taller el contenido matemático seleccionado realmente cumple el objetivo académico de recordar reforzar y aprender la estructura académica de los contenidos es excelente mi modesto entender tiene dificultad creciente ante cualquier duda encontré respuesta y respaldo,una modesta sugerencia una evaluación intermedia,5,5,5,5,5,5,5,5,las cápsulas y material complementario son un real aporte al aprendizaje,5,5,5,5,5,se nota la preocupación constante del tutor,5,5,5,5,5,5,5,se nota que está bien planificado y ejecutado,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más difícil,Apropiado,Mejor,0,0,0,1,que tomen en serio el taller de nivelación es realmente útil y te da una mirada real de falencias y fortalezas que ostentas en matemáticas es muy útil
04_Muy bueno,5,4,4,4,4,4,4,4,4,modulo completo,todo,4,4,4,4,4,4,4,4,todo bien y claro en los contenidos,5,4,4,4,4,todo claro y genial,4,4,4,4,4,4,4,bien claro todo,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mucho mejor,1,0,0,0,que tomen el taller ya que es de bastante utilidad br
04_Muy bueno,3,4,4,4,3,4,4,3,3,trae ejercicios para autoevaluarse,algunas explicaciones pasan muy rápido y están explicadas en detalle asi mismo los ejercicios aunque se responde acertadamente deberia incluir el desarrollo,4,4,3,3,4,2,1,1,hice consultas y obtuve respuestas algunos respuestas de ejercicios en las capsulas estaban con errores,4,1,1,1,1,nunca supe quien era el tutor o si lo habia habia nula información al respecto,2,2,1,1,1,1,1,hubo nula información al respecto,4,4,4,3,4,3,4,3,3,3,3,3,3,3,2,3,2,2,2,Muy pesada,Mucho más difícil,Algo largo,Peor,0,1,0,0,aprovechar la instancia pese toda la carga y dificultad de algunos contenidos siempre será positivo para más adelante
04_Muy bueno,5,5,4,5,4,4,4,4,3,,,4,4,4,4,4,3,3,3,,4,2,1,3,3,,3,3,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,Apropiada,Algo más fácil,Apropiado,Mucho mejor,0,1,0,0,
04_Muy bueno,4,5,4,5,5,4,5,4,3,en contenidos que pude recordar con facilidad,tal vez ir mas al detalle en algunos contenidos,5,4,4,5,5,4,4,4,nada que agregar,5,3,3,4,3,tuve interacción con el tutor,4,3,4,4,4,4,4,,5,5,5,5,5,3,4,5,5,5,4,3,4,4,3,3,4,3,3,Algo pesada,Mucho más difícil,Algo largo,Mucho mejor,0,0,1,0,es de mucha utilidad cuando recuerdas muchos conceptos y formulas
05_Excelente,5,5,5,5,5,5,5,5,5,los videos interactivos,con alguna guia de ejercicios para cada unidad de aprendizaje,5,5,5,5,5,5,5,5,considero que fue una buena experiencia la del taller en todo momento,5,5,5,5,5,fue una buena experiencia,5,5,5,5,5,5,5,excelente experiencia con el equipo de soporte,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,que quizás las pruebas sean tan largas o que hayan más pruebas con menos preguntas
04_Muy bueno,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,,5,5,5,5,4,,5,5,5,4,5,5,5,,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,,,,,0,0,0,1,
04_Muy bueno,5,5,5,5,5,5,5,5,5,,,5,3,5,4,5,5,4,4,,5,5,5,5,5,,5,5,5,5,5,5,4,,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,Algo pesada,Similar,Algo largo,Similar,0,1,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,bastante didáctico,los tiempos,4,3,4,5,4,4,3,4,,4,3,1,3,3,,4,1,4,3,2,2,2,,4,4,3,3,3,3,4,4,5,4,3,3,3,4,4,5,4,4,3,,,,,0,0,0,0,
01_Deficiente,3,4,4,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,Mucho más difícil,Demasiado largo,Similar,1,0,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,los videos,,5,4,4,5,4,4,4,5,,4,5,4,5,4,,4,4,5,4,4,4,5,,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más difícil,Algo largo,Similar,0,1,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,toda la materia del taller,mas ejemplos de ejercicio,5,5,5,5,5,5,5,5,,5,5,5,5,5,sin comentarios,5,5,5,5,5,5,5,sin comentarios,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más difícil,Apropiado,Similar,0,0,0,1,sin comentarios
05_Excelente,5,5,5,5,5,5,5,5,5,que sea mas corto,acompañamiento,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,Muy pesada,Mucho más fácil,Demasiado largo,Mejor,0,0,1,0,
03_Neutral,4,4,4,4,4,4,4,4,4,mas ejercicios practicos,si,3,4,4,4,4,4,4,4,si,4,5,5,5,5,si,4,4,4,4,4,4,4,esuvo bueno,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más fácil,Apropiado,Mejor,0,0,1,0,mas desarollo de los temas
05_Excelente,5,5,5,5,5,5,5,5,5,todos fueron de muha utilidad,creo que es claro,5,5,5,5,5,5,5,5,,5,5,3,5,4,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Demasiado largo,Similar,1,0,0,0,
04_Muy bueno,5,4,5,5,5,5,5,4,3,la especificación de integrales porque abrió pasos mayor aplicabilidad,mayor interacción con un docente y seguimiento,4,4,5,5,4,2,3,2,,3,3,3,3,3,,4,4,3,4,4,3,4,,5,4,4,5,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,1,0,0,0,
02_No muy bueno,3,5,4,4,3,3,2,2,1,se logra introducir en un mismo taller la totalidad de conceptos relevantes previos calculo superior,el tema es que se logra un aprendizaje pedagógico esto debido que va directo las formulaciones de manera rápida y sin antes explicar la funcionalidad de cada concepto ni introducir los diferentes contenidos de la manera en que uno esperaría se explican bien las formulaciones si más bien las colocan y leen rápidamente entiendo que debemos entrar con el conocimiento previo pero también se entiende que cuando pasamos dichos contenidos pudieron haber sido hace años en resumen hubiese gustado haber visto un video en el que un docente explica la materia más que de la manera robotizada actual,3,2,2,4,2,3,2,1,hay interacción con los foros de consultas ni se generan avisos,3,1,1,1,3,,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Muy pesada,Algo más difícil,Algo largo,Mejor,0,0,0,1,dicho lo anterior es importante realizar este taller pero por sobre todo reforzar con contenidos externos al que en este taller podrán encontrar
05_Excelente,5,5,4,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más difícil,Apropiado,Mucho mejor,0,0,1,0,que se den el tiempo de aprender y llevar la practica lo aprendido debido que en el futuro desarrollaran los aprendido en la ejecución
04_Muy bueno,4,5,4,4,4,4,4,4,4,todo ordenado,mas explicacion detallada tanto tecnicismo,4,4,4,4,4,4,4,4,bien,5,4,4,4,4,bien,4,4,4,4,4,4,4,bien,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,disciplina
03_Neutral,4,3,3,3,5,5,5,2,2,la flexibilidad para poder ir estudiando,haber tenido mas conocimientos por mi parte para aprender mejor,4,1,5,4,2,2,5,2,,4,3,3,3,3,,3,3,3,3,3,3,3,,5,5,5,5,5,3,3,3,3,3,3,1,3,1,1,1,3,1,2,Muy pesada,Mucho más difícil,Apropiado,Mejor,0,1,0,0,que se tomen mas tempo para realizarlo debido que su informacion es muy nesesaria
03_Neutral,3,4,3,4,2,2,2,2,1,todo es interesante porque aplica un aprendizaje,con tutorias para dicipar las dudas,2,1,3,3,4,4,1,1,falta más apoyo académico,4,1,1,1,4,hubo tutor para orientación y aclarar dudas,1,1,1,1,1,1,1,tiene buen acceso,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,Muy pesada,Algo más difícil,Demasiado largo,Mejor,0,1,1,0,que tengan estudios previos en precálculo para enfrentar de mejor forma este taller
05_Excelente,5,5,5,5,5,5,5,5,5,lenguaje y tiempos de los audios,,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más difícil,Algo largo,Similar,1,0,0,0,hacerlo con tiempo
03_Neutral,4,4,3,4,5,3,5,3,4,la explicación detallada y la evaluación del contenido en la medida que avanza la materia,sin observaciones,4,3,4,3,3,3,5,5,muy buena la metodología,4,4,5,5,4,fue necesario,5,5,5,5,5,5,5,sin observaciones,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,Muy pesada,Algo más difícil,Algo largo,Similar,1,0,0,0,realizar el taller
04_Muy bueno,5,5,5,5,5,5,5,5,5,toda muy practico y aplicable,mejor preparación,5,5,5,5,5,5,5,5,buenos,5,5,5,5,5,bueno,5,5,5,5,5,5,5,bueno br,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Similar,Apropiado,Similar,1,0,0,0,que lo realicen por lo completo que es
05_Excelente,5,5,5,5,5,5,5,5,5,los contenidos,teniendo mayor interaccion con los colegas modo reuniones o conversatorios,5,5,5,5,5,5,5,5,todo el recurso dispuesto en bueno en relación lo que el alumno lo utiliza,5,5,5,5,5,todo bien,5,5,5,5,5,5,5,todo bien,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más difícil,Apropiado,Mucho mejor,1,0,0,0,dedicarle mas tiempo y tener cargas laborales mayores si es en plan de continuidad de estudios mientras se trabaja
04_Muy bueno,5,5,5,5,5,5,5,5,5,las pruebas y videos,esta perfecto,5,5,5,5,5,3,1,1,,4,1,1,1,1,tuve,3,3,3,2,2,2,2,tuve,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Muy pesada,Algo más difícil,Demasiado largo,Similar,0,0,0,1,
05_Excelente,5,5,5,5,5,5,5,5,5,,,5,2,2,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Algo pesada,Mucho más difícil,Demasiado largo,Mucho peor,0,0,0,1,
04_Muy bueno,4,4,4,5,5,5,4,5,5,la resolución de ejercicios porque es donde uno aplica lo que va aprendiendo independiente del resultado,alguna forma de nbsp nbsp que el contenido sea mas amigable para descargar ya que por trabajo paso bastante tiempo viajando y en los trayectos pongo estudiar,5,5,5,5,5,5,5,4,estuvo bueno el taller,5,5,5,5,5,interactúe en los foros,5,5,5,5,5,5,5,tuve mayor interacción,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,Algo pesada,Similar,Algo largo,Similar,0,1,0,0,que se tomen un tiempo para nivelar matemáticas
04_Muy bueno,5,5,5,5,5,5,5,5,5,realizar los ejercicios de prueba,con guias de trabajo,5,5,5,4,5,4,4,4,,4,3,1,5,5,,4,4,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Mucho más difícil,Algo corto,Mucho mejor,0,1,0,0,
03_Neutral,4,4,4,4,4,3,3,4,3,los ejercicios didacticos,mas ejercicios,4,2,4,4,5,3,2,3,nada por ahora,4,4,4,4,4,bueno,4,4,4,3,3,3,3,fue necesario,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,Muy pesada,Mucho más difícil,Demasiado largo,Mejor,0,1,0,0,necesitaran mucho tiempo si quieren aprender todo
04_Muy bueno,4,5,5,5,5,4,5,5,4,los videos,agregar pasos previos cada ejercicio habían ejercicios en que se saltaban pasos matematicos y habia que consultar por otros medios el paso siguiente,5,5,5,5,5,5,5,5,sin comentarios,5,5,5,5,5,accedí al tutor pero sin duda el tutor habria ayudado,5,5,5,5,5,5,5,tuve interacción con el equipo de soporte,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Algo largo,Mejor,1,0,0,0,recomiendo pasar por este taller pero está un poco extenso para quienes trabajamos y somos padres o madres de familia
03_Neutral,4,4,4,4,4,4,4,4,4,el paso paso,mejorar las explicaciones,3,2,4,4,4,4,3,3,mejorar calidad de preguntas y respuestas,3,4,4,4,4,sin comentarios,4,4,4,4,3,3,3,sin comentarios,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Apropiada,Similar,Apropiado,Similar,0,1,0,0,sin comentarios
03_Neutral,4,5,4,5,2,4,4,4,4,recordar la materia pasada de forma sencilla,quizas separar las ultimas clases de algebra lineal,4,3,5,5,3,3,4,1,el foro deberia estar mas vivo hay preguntas o alguien dirigiendo el foro,1,2,1,1,2,hay tutor que diriga el curso,4,4,4,4,4,4,5,soporte bueno,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,2,2,Algo pesada,Similar,Algo corto,Mejor,0,1,0,0,que aprovechen el curso ya que sirve para repasar las materias vistas anteriormente en el primer paso por la universidad
05_Excelente,5,5,5,5,5,2,3,2,3,aplica,aplica,3,4,4,3,2,2,2,2,aplica,5,3,3,3,4,,5,5,3,5,5,3,4,,4,3,3,5,5,5,4,5,5,3,4,5,5,5,5,5,4,5,4,,,,,1,0,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,todo ya que da herramientas para entender mejor la materia,esta excelente,5,5,5,5,5,5,5,5,todo bien,1,5,5,5,5,es todo muy claro,5,5,5,5,5,5,5,tuve problemas,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Similar,Apropiado,Similar,1,1,1,1,que es una excelente forma de repasar o de comenzar con nuevos conocimientos
03_Neutral,3,3,3,3,3,3,4,4,4,las ecuaciones graficadas,tutoria,3,3,3,2,1,3,2,2,falto mayor tutoria para poder obtener un mejor resultado,3,2,3,3,3,falto apoyo,2,2,3,3,4,4,3,falto soporte,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3,Muy pesada,Similar,Algo largo,Similar,1,0,0,0,preparar una mejor base
04_Muy bueno,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,,5,5,4,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Apropiado,Similar,0,1,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,la explicación detallada de cada contenido y ejemplos,,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más difícil,Apropiado,Mucho mejor,1,0,0,0,
03_Neutral,4,4,4,4,4,4,4,4,4,los videos mas dinamicos y con ejercicios,mas lentas las explicaciones,4,4,4,4,4,4,4,4,la plataforma es amigable en el uso,4,4,4,4,4,lo utilice,4,4,4,4,4,4,4,lo utilizado muy poco para entregar mas detalles,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Apropiado,No tengo experiencia previa,0,0,1,0,realizarlo ya que ayuda previo la otras asignaturas matematicas
05_Excelente,5,5,5,4,4,4,4,4,4,los resumenes en los pdf que permite orientarse permanentemente,quizas mas ejemplos para su aplicacion,4,4,4,4,5,4,4,4,sin comentarios,4,4,4,4,4,parece que esta disposicion de responder toda duda de los estudiantes,4,4,4,4,4,4,4,instuitivo de poder solicitar ayuda,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,4,3,Algo pesada,Similar,Apropiado,Mejor,0,1,0,0,realizar con tiempo y dedicacion ya que hay mucho detalle en la materia
05_Excelente,5,5,5,5,5,5,5,5,5,el contenido en egeneral y nbsp nbsp la vez de ir contenstando preguntas del contenido que van describiendo,haber sido mas didactico con mas ejercicios para poder entender mejor el contenido,5,5,5,5,5,5,5,5,esta bien descrito el contenido estudiar y los materiales de apoyo al estudiante,1,4,2,5,5,,5,3,5,5,4,4,5,,4,4,5,4,4,3,5,4,4,5,5,3,4,3,5,5,5,3,4,,,,,1,1,0,1,
03_Neutral,3,3,3,4,3,3,4,3,3,,una explicacion,3,3,3,3,3,3,3,3,,4,3,3,3,3,,3,3,3,3,3,3,3,bueno,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Algo pesada,Algo más difícil,Algo largo,No tengo experiencia previa,0,1,0,0,realizar una retro alimentación
04_Muy bueno,4,3,4,4,4,4,4,4,4,la modalidad asincronica,horarios de dudas fijos con tutores,2,4,4,4,4,3,3,3,,4,3,3,2,3,,2,2,2,2,3,3,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Algo largo,Similar,0,1,0,0,
04_Muy bueno,4,4,4,4,3,4,4,4,4,,,4,4,4,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Mejor,1,0,0,0,
03_Neutral,4,5,4,4,4,4,3,3,3,las alternativas,con más ejercicios,4,3,4,5,4,3,3,3,,2,3,2,1,4,tuve relación con el tutor,3,3,3,3,3,3,3,tuve comunicación,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5,4,3,5,Apropiada,Algo más fácil,Algo largo,Similar,0,0,0,1,que lo revisen inicio del semestre unas semanas antes de iniciar cálculo
04_Muy bueno,5,5,4,4,5,5,5,4,4,calculo integral,consultas online,4,4,5,4,5,4,4,4,reforzo el conocimiento que tenia,5,3,4,4,4,respuestas idoneas,4,4,4,4,3,3,4,sin comunicacion con soporte,4,4,4,4,5,4,5,4,4,5,4,5,4,5,5,5,4,5,4,Algo pesada,Mucho más difícil,Apropiado,Mejor,1,1,1,1,estudiar
04_Muy bueno,4,4,4,4,4,4,4,4,4,los ejemplos de cada ejercicios,mas ejercicios,4,4,4,4,4,4,4,4,,5,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo ligera,Algo más fácil,Algo corto,Mucho mejor,0,0,1,0,
03_Neutral,5,4,5,5,5,5,5,5,5,funciones por que es mi favorito,pareció bueno el contenido que se mostro,5,5,5,5,5,5,5,5,de acuerdo con el contenido para comenzar las pruebas oficiales es un buen repaso,4,5,5,5,5,sin comentarios,5,5,5,5,5,5,5,lo utilice,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Mucho más difícil,Demasiado largo,Mejor,0,1,0,0,que deben hacerlo con tiempo si verdaderamente quiere sacarle provecho ya que es bastante extenso
01_Deficiente,4,4,4,5,3,3,5,2,2,,,1,1,3,5,5,3,4,4,,3,3,3,3,3,,3,3,3,3,3,3,3,,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Muy pesada,Mucho más difícil,Demasiado largo,Peor,0,1,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,lo dinámico,tengo observaciones,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Algo largo,Mejor,0,1,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,gustó el contenido interactivo,siento que hay pocas cosas que se podrían cambiar quizas solo respecto visual,4,4,4,4,4,4,4,4,estuvo bien,4,5,4,4,4,por mi parte opte mucho por aplicar comunicacion,4,4,4,4,4,4,4,estuvo bien,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Algo largo,No tengo experiencia previa,0,1,0,0,que aprovechen el contenido entregado servirá para las evaluaciones
04_Muy bueno,5,4,4,5,5,5,5,5,5,algebra en la funciones se centra mas en sumar resta multiplicaciones y divisiones de la función,interacción con los taller y ejercicios relacionado al tema nbsp nbsp y ir interactuando con ellos,4,5,4,3,5,5,5,5,tengo nada que decir,5,5,5,5,5,explica detalladamente nbsp nbsp los tema relacionado con los ejercicios,5,5,5,5,5,5,5,esta todo relacionado del tema esta bien,5,5,5,4,5,4,4,4,4,3,3,4,3,3,3,4,4,4,4,Muy pesada,Algo más difícil,Algo largo,Similar,1,0,0,0,toda el material que nos entra es muy útil ya que aplicamos todo los que hemos aprendido
05_Excelente,5,5,5,5,5,5,5,5,5,todo,mucho,5,5,5,5,5,5,5,5,,5,4,4,4,4,tube necesidad de contactarlo,5,5,4,5,5,5,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Similar,Apropiado,Mejor,1,1,1,1,
05_Excelente,5,5,5,5,5,5,5,5,5,el repasar todos los contenidos en orden,sugerencias de paginas web para explicar en detalle los pasos,5,5,5,5,5,5,5,5,muy buen curso de repaso de las materias en cuestión,5,5,5,5,5,muy competente,5,5,5,5,5,5,5,muy competente,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Mucho más difícil,Apropiado,Mejor,1,1,0,0,realizar los ejercicios con tiempo
04_Muy bueno,4,5,4,4,5,5,5,4,4,enseñanza,comenzar con lo más básico ya que la mayoría de continuidad hemos olvidado la base,4,4,4,4,4,5,4,4,,4,4,4,5,3,,4,2,3,5,3,3,3,,4,4,2,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,Algo pesada,Algo más difícil,Algo largo,No tengo experiencia previa,0,1,0,0,realizar taller y complementar
05_Excelente,4,3,3,5,5,4,5,5,5,todo muy bien,muy bueno el taller,4,4,4,4,4,4,4,4,,1,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,2,3,Muy pesada,Mucho más difícil,Demasiado largo,Similar,0,1,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,los contenidos con evaluaciones cada vez que avanzas con distintas unidades,lo encontre bueno,5,5,5,5,5,5,5,5,el taller es bueno por que revisa todas las unidades asociadas la matematicas y calculo,5,5,5,5,5,didáctico y amigable,5,5,5,5,5,5,5,consideran buen tiempo para la realización del taller,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,que realicen el taller por que ayuda bastante
05_Excelente,5,5,5,5,5,5,5,5,5,el final br,profesor en linea br,5,5,5,5,5,5,5,5,excelente,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo ligera,Algo más difícil,Demasiado largo,Mucho mejor,1,0,0,0,
04_Muy bueno,4,5,5,5,5,5,5,5,5,todas ya que sirve para reforzar,más comprensión en los desarrollos,4,5,5,5,5,5,5,5,las mejore,5,5,5,5,5,bastante apoyo,5,5,5,5,5,5,5,dan solucion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Muy pesada,Mucho más difícil,Apropiado,Peor,0,0,1,0,que lo valoren
03_Neutral,3,3,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Apropiada,Similar,Apropiado,Similar,0,1,0,0,
04_Muy bueno,3,4,3,3,4,3,4,3,4,,,3,4,4,3,4,3,4,4,,5,4,4,4,3,buena,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Apropiado,Similar,1,0,0,0,realizarlo con mas tiempo
04_Muy bueno,5,5,4,5,5,5,5,5,5,algebra lineal,mas videos y mas ejemplos,5,5,5,5,5,5,5,5,todo excelente,4,4,3,4,4,todo bien,3,3,3,3,3,3,3,bueno,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,que estudien y practiquen
04_Muy bueno,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,4,4,4,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Mucho más difícil,Apropiado,Mejor,0,0,0,1,
01_Deficiente,2,3,4,4,3,2,2,3,3,los ensayos y reforzamientos,con videos o clases de reforzamiento mas interactivas,3,3,3,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,3,responden rapido pero tego lsolo una experiencia,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,Muy pesada,Algo más difícil,Demasiado largo,Mucho peor,0,1,0,0,esforzarse y hacer nivelacion
04_Muy bueno,4,4,4,5,5,3,5,5,5,,si,5,5,5,5,5,5,5,5,,5,4,4,4,4,,5,4,4,4,4,4,4,,4,5,5,5,5,5,5,4,5,4,4,4,4,5,4,3,4,4,4,,,,,0,0,0,1,
04_Muy bueno,4,4,4,4,4,4,4,4,3,los ejercicios ya que si te equivocas te dan la respuesta correcta para así revisar los pasos errados,en ciertos ejercicios la explicación con más detalles,4,3,4,4,4,4,3,3,,4,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,5,,,,,1,0,0,0,
04_Muy bueno,4,4,4,4,4,4,4,4,3,las explicaciones graficas,sin observaciones,4,4,4,4,4,4,4,4,,4,3,3,3,3,,3,3,3,3,3,3,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,
03_Neutral,4,3,3,4,4,3,4,3,3,la información,con mayor interacción,3,3,4,4,4,4,4,4,es bastante complejo,3,2,2,2,2,ninguna,2,2,2,2,2,2,2,ninguna,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,Algo pesada,Algo más difícil,Demasiado largo,Similar,0,0,1,1,deben estudiar harto
04_Muy bueno,4,4,4,4,4,5,5,4,3,las preguntas interactivas,bastante,4,3,5,4,5,4,4,4,bastante complicadas,4,5,1,1,4,tuve interacción con el tutor,4,4,4,3,2,3,2,hubo tal experiencia,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Muy pesada,Mucho más difícil,Algo largo,No tengo experiencia previa,0,0,1,0,que aprovechen muy bien esta materia
